id;name;price;socket;form_factor;max_memory;memory_slots;color
1;MSI B650 GAMING PLUS WIFI;169.99;AM5;ATX;192;4;Black
2;Asus ROG STRIX B650-A GAMING WIFI;199.99;AM5;ATX;192;4;Black / Silver
3;MSI B760 GAMING PLUS WIFI;159.99;LGA1700;ATX;192;4;Black / Silver
4;MSI PRO Z790-A MAX WIFI;239.99;LGA1700;ATX;192;4;Silver / Black
5;MSI B550 GAMING GEN3;99.99;AM4;ATX;128;4;Black
6;MSI B450M-A PRO MAX II;69.98;AM4;Micro ATX;64;2;Black
7;MSI MAG B650 TOMAHAWK WIFI;199.99;AM5;ATX;192;4;Black
8;Gigabyte B650 GAMING X AX;179.99;AM5;ATX;192;4;Black / Gray
9;Asus PRIME B550M-A WIFI II;104.99;AM4;Micro ATX;128;4;Blue / Silver
10;ASRock B650M Pro RS WiFi;149.99;AM5;Micro ATX;192;4;Black / Silver
11;ASRock B660M Pro RS;94.99;LGA1700;Micro ATX;128;4;Gray / Black
12;MSI PRO B650M-P;119.99;AM5;Micro ATX;192;4;Black / Silver
13;Asus TUF GAMING Z790-PRO WIFI;279.99;LGA1700;ATX;192;4;Black
14;MSI MAG X670E TOMAHAWK WIFI;259.99;AM5;ATX;192;4;Black
15;MSI PRO Z790-P WIFI;199.99;LGA1700;ATX;192;4;Black / Silver
16;MSI MAG B550 TOMAHAWK MAX WIFI;159.99;AM4;ATX;128;4;Silver / Black
17;Asus ROG STRIX B550-F GAMING WIFI II;189.99;AM4;ATX;128;4;Black / Red
18;MSI PRO B650M-A WIFI;156.99;AM5;Micro ATX;192;4;Black
19;ASRock B650I Lightning Wifi;199.99;AM5;Mini ITX;96;2;Black
20;MSI B550M PRO-VDH WIFI;99.99;AM4;Micro ATX;128;4;Black
21;MSI PRO B650-S WIFI;139.99;AM5;ATX;192;4;Black
22;Gigabyte B650 EAGLE AX;169.99;AM5;ATX;192;4;Gray / Black
23;Asus ROG STRIX B650E-F GAMING WIFI;259.99;AM5;ATX;192;4;Black
24;Gigabyte B650 AORUS ELITE AX ICE;229.99;AM5;ATX;192;4;Silver
25;Asus ROG MAXIMUS Z790 DARK HERO;579.99;LGA1700;ATX;192;4;Black
26;Asus Prime B450M-A II;69.98;AM4;Micro ATX;128;4;
27;Gigabyte B650 AORUS ELITE AX;199.99;AM5;ATX;192;4;Black / Silver
28;Asus PRIME B760-PLUS;129.99;LGA1700;ATX;192;4;Black / Silver
29;Gigabyte B550M K;94.99;AM4;Micro ATX;128;4;Brown / Silver
30;MSI MAG Z790 TOMAHAWK WIFI;209.99;LGA1700;ATX;192;4;Black
31;Gigabyte TRX40 AORUS XTREME;1840.02;sTRX4;XL ATX;256;8;Black / Silver
32;Gigabyte X670E AORUS PRO X;299.99;AM5;ATX;192;4;White / Silver
33;Asus ROG STRIX Z790-A GAMING WIFI II;335.99;LGA1700;ATX;192;4;Black / Silver
34;Gigabyte Z790 AORUS ELITE AX;219.99;LGA1700;ATX;192;4;Black
35;ASRock B450M-HDV R4.0;59.99;AM4;Micro ATX;32;2;Black / White
36;MSI PRO B550M-VC WIFI;116.55;AM4;Micro ATX;128;4;Black
37;MSI PRO B760-P WIFI DDR4;139.99;LGA1700;ATX;128;4;Black
38;Asus TUF GAMING B650-PLUS WIFI;199.99;AM5;ATX;128;4;Black
39;Gigabyte B550 UD AC;99.99;AM4;ATX;128;4;Brown / Black
40;Asus ROG STRIX B650E-I GAMING WIFI;299.99;AM5;Mini ITX;96;2;Black
41;Asus ROG STRIX Z790-E GAMING WIFI II;427.99;LGA1700;ATX;192;4;Black
42;MSI B550-A PRO;109.99;AM4;ATX;128;4;Black / Silver
43;MSI PRO A620M-E;74.95;AM5;Micro ATX;96;2;Black
